q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;s[0, 3];s[0, 4];s[0, 5];s[1, 3];s[1, 4];s[1, 5];s[2, 3];s[2, 4];s[2, 5];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8
6;3;42;30;28;20;22;20;25;21;26;7;64;70;42;7;20;21;22;25;26;42;64;70
15;37;9;47;0;29;49;6;42;72;31;51;39;-10;32;-10;6;31;32;39;42;49;51;72
10;14;13;42;6;35;35;14;40;50;2;33;39;7;43;2;7;14;33;35;39;40;43;50
23;40;25;3;34;28;21;50;37;28;54;57;25;55;52;21;25;28;37;50;52;54;55;57
32;39;37;30;40;37;53;53;62;49;79;76;53;58;55;49;53;53;53;55;58;62;76;79
2;0;6;18;19;11;2;10;-1;17;10;9;7;11;8;-1;2;7;8;9;10;10;11;17
27;31;42;48;8;44;64;16;67;64;37;70;84;35;70;16;35;37;64;64;67;70;70;84
20;16;23;49;8;40;55;25;50;54;24;56;67;20;43;20;24;25;43;50;54;55;56;67
49;46;9;31;2;17;71;49;60;70;32;52;26;7;23;7;23;26;32;49;52;60;70;71
22;2;23;34;27;20;51;34;23;22;14;4;49;45;32;4;14;22;23;32;34;45;49;51
8;30;39;36;3;26;31;-1;22;61;30;38;59;34;65;-1;22;30;31;34;38;59;61;65
10;18;15;9;4;26;10;6;33;22;19;33;18;-1;35;-1;6;10;18;19;22;33;33;35
27;30;13;43;42;13;53;69;31;70;59;43;38;40;6;6;31;38;40;43;53;59;69;70
8;31;18;37;41;43;25;36;44;56;52;68;54;50;49;25;36;44;49;50;52;54;56;68
47;30;38;14;7;49;54;38;78;31;34;74;45;32;80;31;32;34;38;45;54;74;78;80
29;48;34;3;31;43;14;41;53;42;77;75;29;62;73;14;29;41;42;53;62;73;75;77
8;11;39;10;34;14;7;29;12;17;34;6;34;61;35;6;7;12;17;29;34;34;35;61
14;4;5;20;12;46;26;24;51;7;7;39;24;4;44;4;7;7;24;24;26;39;44;51
6;32;7;13;39;3;18;26;-10;28;63;32;20;38;-8;-10;-8;18;20;26;28;32;38;63
13;14;24;35;17;3;39;10;4;48;15;-2;49;38;12;-2;4;10;12;15;38;39;48;49
41;0;2;38;10;30;69;40;56;24;-6;17;39;8;20;-6;8;17;20;24;39;40;56;69
8;28;3;1;8;26;5;16;33;25;22;41;-2;10;19;-2;5;10;16;19;22;25;33;41
6;36;22;16;20;21;11;16;19;35;44;43;23;23;32;11;16;19;23;23;32;35;43;44
44;24;24;25;2;1;65;39;36;44;12;9;31;10;14;9;10;12;14;31;36;39;44;65
46;2;36;15;12;46;61;45;73;14;8;30;33;42;68;8;14;30;33;42;45;61;68;73
29;15;4;34;17;26;48;26;38;37;26;23;25;4;27;4;23;25;26;26;27;37;38;48
25;45;15;28;37;15;51;56;28;66;62;43;39;32;18;18;28;32;39;43;51;56;62;66
12;1;45;40;32;44;45;35;56;21;17;33;79;73;79;17;21;33;35;45;56;73;79;79
6;24;37;7;40;33;-4;34;21;12;59;55;37;74;53;-4;12;21;34;37;53;55;59;74
46;5;18;34;33;47;75;78;76;22;24;46;32;33;61;22;24;32;33;46;61;75;76;78
42;2;24;16;46;21;40;73;62;-1;28;3;24;64;29;-1;3;24;28;29;40;62;64;73
15;3;23;49;32;43;44;33;52;48;22;43;55;44;58;22;33;43;44;44;48;52;55;58
45;21;9;12;13;21;46;38;65;21;31;41;13;15;16;13;15;16;21;31;38;41;46;65
45;43;37;2;11;18;35;38;63;42;52;56;39;40;54;35;38;39;40;42;52;54;56;63
7;19;43;10;49;48;8;49;39;20;60;66;49;87;82;8;20;39;49;49;60;66;82;87
4;28;32;44;40;7;37;28;-7;56;66;16;72;58;31;-7;16;28;31;37;56;58;66;72
0;35;30;30;37;15;14;34;11;52;54;37;53;64;44;11;14;34;37;44;52;53;54;64
1;19;49;18;41;16;5;32;12;29;59;23;66;85;60;5;12;23;29;32;59;60;66;85
19;30;30;21;27;41;31;27;54;42;48;56;42;44;71;27;31;42;42;44;48;54;56;71
49;2;35;25;16;45;66;58;78;22;9;47;54;42;78;9;22;42;47;54;58;66;78;78
18;17;0;47;48;5;58;66;23;47;54;6;42;35;-6;-6;6;23;35;42;47;54;58;66
45;30;8;25;49;22;59;74;62;49;62;43;18;54;22;18;22;43;49;54;59;62;62;74
25;3;23;4;12;27;9;22;49;7;-3;13;15;19;44;-3;7;9;13;15;19;22;44;49
0;24;4;28;15;19;9;6;8;50;36;32;21;14;13;6;8;9;13;14;21;32;36;50
38;24;11;17;39;41;37;74;65;34;55;51;21;35;46;21;34;35;37;46;51;55;65;74
18;40;7;37;46;18;41;52;26;64;66;38;31;47;11;11;26;31;38;41;47;52;64;66
25;45;19;26;31;5;34;48;22;62;56;42;35;38;23;22;23;34;35;38;42;48;56;62
21;5;33;19;46;7;39;63;27;24;42;8;35;68;30;8;24;27;30;35;39;42;63;68
30;8;43;13;13;40;24;27;65;21;2;39;41;41;73;2;21;24;27;39;41;41;65;73
12;1;22;12;47;20;15;45;27;10;30;20;19;61;23;10;15;19;20;23;27;30;45;61
29;20;26;23;24;30;34;34;41;33;26;32;42;37;54;26;32;33;34;34;37;41;42;54
29;26;39;28;43;23;41;53;42;49;52;37;61;77;45;37;41;42;45;49;52;53;61;77
20;0;22;21;22;29;37;31;35;18;19;28;41;40;48;18;19;28;31;35;37;40;41;48
20;42;47;7;0;23;17;4;27;39;30;64;36;43;52;4;17;27;30;36;39;43;52;64
45;29;26;49;9;40;74;42;80;62;32;61;59;17;61;17;32;42;59;61;61;62;74;80
29;24;0;14;6;21;23;35;35;21;17;42;8;-8;7;-8;7;8;17;21;23;35;35;42
6;4;22;10;47;25;16;48;22;13;46;26;22;59;41;13;16;22;22;26;41;46;48;59
1;41;21;37;22;10;19;4;5;72;61;51;56;36;20;4;5;19;20;36;51;56;61;72
47;27;48;31;46;31;74;74;68;44;67;54;79;79;67;44;54;67;67;68;74;74;79;79
24;25;44;0;21;46;8;39;62;8;39;68;31;55;82;8;8;31;39;39;55;62;68;82
36;0;25;3;14;46;23;38;76;3;3;29;13;27;64;3;3;13;23;27;29;38;64;76
15;46;35;34;44;46;33;59;45;79;89;87;61;62;80;33;45;59;61;62;79;80;87;89
17;40;37;0;6;45;16;11;55;32;36;75;31;28;63;11;16;28;31;32;36;55;63;75
3;2;10;6;2;38;-1;-14;33;-10;-4;28;-3;12;38;-14;-10;-4;-3;-1;12;28;33;38
44;8;1;39;34;3;68;78;31;43;24;-3;31;26;-12;-12;-3;24;26;31;31;43;68;78
37;21;24;33;3;37;57;39;60;49;22;44;46;20;58;20;22;39;44;46;49;57;58;60
45;15;31;5;27;33;40;59;61;6;37;40;31;44;45;6;31;37;40;40;44;45;59;61
45;24;14;2;32;10;36;67;55;7;48;32;-3;30;22;-3;7;22;30;32;36;48;55;67
36;6;46;36;29;22;70;63;49;31;26;23;81;65;65;23;26;31;49;63;65;65;70;81
3;15;7;34;47;13;37;45;6;42;61;16;37;37;7;6;7;16;37;37;37;42;45;61
4;17;34;46;3;14;37;5;-1;44;12;12;74;30;48;-1;5;12;12;30;37;44;48;74
39;13;36;44;36;27;78;73;50;52;44;25;68;52;60;25;44;50;52;52;60;68;73;78
33;48;16;2;27;28;21;43;46;50;67;72;17;30;33;17;21;30;33;43;46;50;67;72
10;36;18;11;45;29;1;35;25;42;67;62;21;50;43;1;21;25;35;42;43;50;62;67
10;2;49;19;6;16;21;7;22;4;-2;7;68;37;56;-2;4;7;7;21;22;37;56;68
6;8;3;31;42;14;17;37;8;28;38;10;24;26;13;8;10;13;17;24;26;28;37;38
17;34;49;16;11;31;32;19;35;34;44;61;63;60;76;19;32;34;35;44;60;61;63;76
29;6;39;43;43;45;56;69;60;41;44;48;78;73;81;41;44;48;56;60;69;73;78;81
26;3;39;48;43;36;58;59;56;36;44;21;84;71;55;21;36;44;55;56;58;59;71;84
19;45;16;2;43;20;17;60;19;30;75;45;12;52;24;12;17;19;24;30;45;52;60;75
16;17;47;30;29;4;32;29;19;38;30;2;60;73;51;2;19;29;30;32;38;51;60;73
4;19;10;20;28;7;14;15;-9;34;39;22;12;24;8;-9;8;12;14;15;22;24;34;39
44;33;1;14;36;29;55;80;70;42;52;42;-3;23;16;-3;16;23;42;42;52;55;70;80
2;9;40;17;16;41;-1;16;36;15;6;45;42;55;69;-1;6;15;16;36;42;45;55;69
20;41;18;20;3;49;23;23;64;58;36;83;29;15;55;15;23;23;29;36;55;58;64;83
46;11;36;25;26;24;58;69;67;31;33;18;59;46;53;18;31;33;46;53;58;59;67;69
3;37;7;10;9;34;-4;1;30;36;31;67;6;0;35;-4;0;1;6;30;31;35;36;67
35;35;1;18;1;13;43;19;40;49;27;36;19;-4;-4;-4;-4;19;19;27;36;40;43;49
11;40;25;37;26;17;39;19;9;63;66;52;42;33;24;9;19;24;33;39;42;52;63;66
19;46;48;11;28;19;19;44;26;51;61;45;45;60;55;19;26;44;45;45;51;55;60;61
42;40;38;41;6;30;71;44;69;78;41;59;73;33;67;33;41;44;59;67;69;71;73;78
42;11;45;48;28;23;77;50;62;59;35;22;88;64;61;22;35;50;59;61;62;64;77;88
26;2;1;5;11;6;17;36;25;5;-7;-7;-3;-5;-9;-9;-7;-7;-5;-3;5;17;25;36
46;45;33;20;32;19;55;61;52;52;69;44;35;52;46;35;44;46;52;52;52;55;61;69
20;26;24;42;28;20;51;41;26;49;40;32;51;44;27;26;27;32;40;41;44;49;51;51
4;3;39;10;22;29;9;10;22;6;6;32;29;60;59;6;6;9;10;22;29;32;59;60
14;39;24;42;17;12;51;24;9;71;53;44;62;28;27;9;24;27;28;44;51;53;62;71
45;22;47;47;24;40;79;60;82;54;37;57;94;69;77;37;54;57;60;69;77;79;82;94
37;37;7;34;1;36;66;34;61;64;20;59;29;4;33;4;20;29;33;34;59;61;64;66
13;16;20;29;31;44;41;26;57;34;43;53;32;47;60;26;32;34;41;43;47;53;57;60
23;25;6;23;36;31;40;51;45;45;48;53;15;27;30;15;27;30;40;45;45;48;51;53
1;47;16;1;0;16;1;-11;-3;37;46;57;-1;16;29;-11;-3;-1;1;16;29;37;46;57
34;49;45;42;16;23;60;48;41;81;62;57;84;52;58;41;48;52;57;58;60;62;81;84
28;22;43;39;39;40;58;55;65;52;47;42;77;63;63;42;47;52;55;58;63;63;65;77
27;39;4;12;16;43;23;29;60;47;39;75;16;16;37;16;16;23;29;37;39;47;60;75
12;37;12;0;6;32;-3;17;43;17;38;54;-4;0;40;-4;-3;0;17;17;38;40;43;54
5;43;31;16;21;46;16;16;45;51;57;76;47;40;62;16;16;40;45;47;51;57;62;76
20;21;32;20;48;30;32;54;46;32;54;41;32;60;48;32;32;32;41;46;48;54;54;60
10;43;10;31;46;36;41;46;36;65;83;74;34;42;32;32;34;36;41;42;46;65;74;83
15;4;4;37;16;49;40;29;52;40;9;40;30;20;37;9;20;29;30;37;40;40;40;52
35;10;15;47;44;11;68;79;27;39;38;12;60;39;20;12;20;27;38;39;39;60;68;79
29;12;18;11;10;42;35;31;58;8;21;34;17;9;59;8;9;17;21;31;34;35;58;59
36;9;11;31;4;41;52;37;69;27;5;46;36;4;40;4;5;27;36;37;40;46;52;69
14;9;33;23;46;30;19;46;31;23;39;20;50;65;62;19;20;23;31;39;46;50;62;65
13;0;41;27;27;25;36;37;30;18;15;18;56;62;47;15;18;18;30;36;37;47;56;62
47;35;40;31;13;10;76;41;44;54;31;40;64;46;49;31;40;41;44;46;49;54;64;76
4;19;45;31;1;18;22;1;10;40;12;21;59;40;47;1;10;12;21;22;40;40;47;59
12;24;2;34;17;14;30;26;25;38;34;31;35;2;-4;-4;2;25;26;30;31;34;35;38
45;47;4;27;1;42;55;32;77;60;30;89;31;-2;29;-2;29;30;31;32;55;60;77;89
44;40;14;45;21;38;85;63;69;71;61;69;54;23;40;23;40;54;61;63;69;69;71;85
14;24;48;48;33;40;57;29;51;69;47;49;80;67;68;29;47;49;51;57;67;68;69;80
12;35;0;47;15;19;39;21;20;65;40;43;39;-4;9;-4;9;20;21;39;39;40;43;65
41;28;13;40;31;26;78;62;48;50;54;40;40;26;31;26;31;40;40;48;50;54;62;78
29;36;29;34;28;26;53;38;47;70;50;62;61;46;42;38;42;46;47;50;53;61;62;70
36;0;31;19;29;39;55;56;63;5;11;33;34;57;52;5;11;33;34;52;55;56;57;63
2;15;19;0;47;40;-16;35;25;-2;55;51;19;66;50;-16;-2;19;25;35;50;51;55;66
31;49;25;47;34;24;68;59;51;87;78;55;52;59;34;34;51;52;55;59;59;68;78;87
34;36;33;24;31;49;56;59;77;59;60;77;48;44;64;44;48;56;59;59;60;64;77;77
11;31;13;37;1;14;38;-1;12;58;32;33;41;-4;21;-4;-1;12;21;32;33;38;41;58
16;44;6;25;40;24;21;52;35;63;72;63;13;46;12;12;13;21;35;46;52;63;63;72
39;34;22;22;49;40;49;81;64;45;63;54;42;67;47;42;45;47;49;54;63;64;67;81
39;15;28;42;18;23;64;55;54;49;30;26;69;35;35;26;30;35;35;49;54;55;64;69
19;33;23;32;46;28;45;53;47;65;73;60;55;58;47;45;47;47;53;55;58;60;65;73
46;36;26;15;20;0;46;46;44;51;42;27;29;39;10;10;27;29;39;42;44;46;46;51
15;8;22;27;30;7;26;45;7;28;31;-3;49;35;10;-3;7;10;26;28;31;35;45;49
0;42;45;49;17;19;40;4;-1;85;46;56;89;55;44;-1;4;40;44;46;55;56;85;89
37;2;22;30;40;39;47;63;71;20;42;35;33;54;41;20;33;35;41;42;47;54;63;71
33;20;29;13;14;39;42;46;70;20;18;46;22;40;50;18;20;22;40;42;46;46;50;70
6;1;23;38;49;26;32;40;31;32;37;10;45;69;34;10;31;32;32;34;37;40;45;69
26;17;21;5;46;42;23;55;67;15;54;39;18;64;49;15;18;23;39;49;54;55;64;67
14;18;9;24;10;31;38;14;32;37;13;38;30;7;34;7;13;14;30;32;34;37;38;38
0;37;19;31;1;6;25;-2;-6;58;20;34;43;2;17;-6;-2;2;17;20;25;34;43;58
3;49;43;35;36;48;34;38;44;84;85;81;73;63;71;34;38;44;63;71;73;81;84;85
41;29;24;5;39;11;29;65;43;27;48;28;22;55;21;21;22;27;28;29;43;48;55;65
34;1;4;16;17;0;34;42;25;14;18;-5;15;14;4;-5;4;14;14;15;18;25;34;42
37;4;24;42;26;24;74;46;58;34;18;21;50;44;30;18;21;30;34;44;46;50;58;74
27;42;3;31;27;4;57;38;25;59;68;35;28;27;-2;-2;25;27;28;35;38;57;59;68
10;46;8;16;5;7;8;1;7;53;39;34;23;-7;-4;-7;-4;1;7;8;23;34;39;53
39;22;7;13;24;30;39;43;57;21;46;40;2;18;24;2;18;21;24;39;40;43;46;57
33;22;7;46;42;38;65;58;64;56;46;41;38;42;39;38;39;41;42;46;56;58;64;65
14;42;46;33;44;25;33;38;32;72;75;60;69;75;63;32;33;38;60;63;69;72;75;75
10;19;23;17;37;43;21;37;50;31;46;59;28;56;51;21;28;31;37;46;50;51;56;59
26;42;8;44;26;2;54;52;22;83;60;30;49;21;-7;-7;21;22;30;49;52;54;60;83
45;10;16;26;49;30;71;82;67;35;59;31;41;46;39;31;35;39;41;46;59;67;71;82
7;14;49;45;22;48;32;18;51;41;27;53;91;69;89;18;27;32;41;51;53;69;89;91
13;7;17;17;13;24;13;17;20;23;3;26;27;11;24;3;11;13;17;20;23;24;26;27
34;30;42;10;45;30;41;63;57;37;73;47;34;78;55;34;37;41;47;55;57;63;73;78
27;3;39;25;23;0;39;34;23;13;6;-2;47;48;29;-2;6;13;23;29;34;39;47;48
23;16;10;40;12;45;44;17;50;44;15;58;33;8;38;8;15;17;33;38;44;44;50;58
36;15;23;32;10;12;49;33;47;40;16;16;37;33;33;16;16;33;33;33;37;40;47;49
6;28;34;12;40;44;7;39;37;37;68;68;43;68;74;7;37;37;39;43;68;68;68;74
46;7;14;12;24;48;43;70;77;15;16;35;14;36;58;14;15;16;35;36;43;58;70;77
5;9;44;46;3;10;48;2;5;39;-2;10;84;39;50;-2;2;5;10;39;39;48;50;84
33;27;15;45;11;44;74;30;67;65;26;58;44;16;57;16;26;30;44;57;58;65;67;74
37;35;6;41;20;36;71;37;54;56;52;65;37;8;32;8;32;37;37;52;54;56;65;71
19;25;10;28;34;4;29;38;4;45;55;13;26;34;8;4;8;13;26;29;34;38;45;55
44;34;41;41;31;35;73;59;60;65;45;59;74;64;67;45;59;59;60;64;65;67;73;74
5;26;5;25;7;1;26;-6;-1;31;31;26;26;-6;-6;-6;-6;-6;-1;26;26;26;31;31
21;4;17;10;26;1;26;46;3;14;29;-13;24;30;1;-13;1;3;14;24;26;29;30;46
29;4;0;36;27;26;47;48;44;33;25;16;25;22;21;16;21;22;25;25;33;44;47;48
34;13;25;1;26;13;30;41;41;8;35;20;17;33;21;8;17;20;21;30;33;35;41;41
6;8;10;49;46;20;42;34;10;40;50;25;40;56;14;10;14;25;34;40;40;42;50;56
6;45;11;1;29;5;-7;27;-1;41;66;36;4;28;0;-7;-1;0;4;27;28;36;41;66
19;48;6;25;4;24;34;13;37;62;43;57;28;2;27;2;13;27;28;34;37;43;57;62
29;8;25;5;38;11;32;50;40;8;43;10;14;53;30;8;10;14;30;32;40;43;50;53
0;19;35;9;29;14;0;28;-6;19;34;23;25;51;38;-6;0;19;23;25;28;34;38;51
15;6;34;11;4;38;22;2;53;10;3;26;25;31;71;2;3;10;22;25;26;31;53;71
22;3;37;8;44;17;20;55;24;-5;40;3;39;67;53;-5;3;20;24;39;40;53;55;67
18;31;22;31;39;36;49;48;38;55;57;47;36;46;56;36;38;46;47;48;49;55;56;57
27;35;20;10;6;43;30;21;53;33;41;70;23;11;49;11;21;23;30;33;41;49;53;70
39;48;45;47;35;5;73;60;32;90;69;52;77;64;47;32;47;52;60;64;69;73;77;90
48;34;42;45;35;39;90;73;80;71;51;71;80;69;77;51;69;71;71;73;77;80;80;90
1;14;18;23;44;34;12;35;32;34;39;43;40;52;34;12;32;34;34;35;39;40;43;52
20;24;1;34;9;31;35;29;44;53;16;47;35;3;24;3;16;24;29;35;35;44;47;53
11;19;18;45;23;19;39;14;27;48;29;32;56;39;37;14;27;29;32;37;39;39;48;56
3;8;37;28;16;28;14;10;29;25;11;34;61;41;46;10;11;14;25;29;34;41;46;61
17;4;34;17;44;30;14;59;27;14;37;25;42;76;62;14;14;25;27;37;42;59;62;76
31;17;29;25;35;7;44;61;29;40;48;5;52;64;25;5;25;29;40;44;48;52;61;64
20;2;7;43;16;28;43;36;37;43;6;16;40;9;16;6;9;16;16;36;37;40;43;43
36;4;13;37;25;21;71;52;55;24;22;10;46;33;24;10;22;24;24;33;46;52;55;71
43;28;28;11;21;10;47;62;44;32;38;24;30;39;21;21;24;30;32;38;39;44;47;62
16;21;10;35;6;13;42;18;13;38;16;21;43;-3;14;-3;13;14;16;18;21;38;42;43
23;18;26;27;37;36;37;41;40;41;35;47;53;62;55;35;37;40;41;41;47;53;55;62
30;22;14;16;9;34;38;37;45;21;18;36;19;3;48;3;18;19;21;36;37;38;45;48
48;42;43;4;49;18;41;94;48;42;86;49;35;74;57;35;41;42;48;49;57;74;86;94
14;46;40;1;24;42;1;28;46;32;70;68;41;49;75;1;28;32;41;46;49;68;70;75
0;47;11;34;28;5;26;11;0;73;65;36;26;20;10;0;10;11;20;26;26;36;65;73
24;28;20;47;38;46;70;55;50;61;66;66;52;46;66;46;50;52;55;61;66;66;66;70
20;3;32;15;49;20;19;56;28;14;43;14;38;66;52;14;14;19;28;38;43;52;56;66
23;35;29;11;31;36;30;54;57;30;60;66;37;47;58;30;30;37;47;54;57;58;60;66
35;23;36;7;36;48;33;65;80;17;43;60;38;57;84;17;33;38;43;57;60;65;80;84
34;34;6;44;25;34;65;56;56;59;56;66;42;23;36;23;36;42;56;56;56;59;65;66
8;46;21;31;33;49;25;22;49;77;73;93;46;49;60;22;25;46;49;49;60;73;77;93
43;15;34;26;18;32;54;43;62;38;14;46;44;39;66;14;38;39;43;44;46;54;62;66
21;39;12;27;35;0;36;53;16;50;63;22;23;37;3;3;16;22;23;36;37;50;53;63
36;13;11;5;12;34;31;40;69;10;18;29;9;13;30;9;10;13;18;29;30;31;40;69
13;13;39;23;45;31;23;43;36;25;54;42;52;68;50;23;25;36;42;43;50;52;54;68
32;8;16;38;26;21;55;51;47;33;27;27;47;32;23;23;27;27;32;33;47;47;51;55
40;20;7;25;7;24;51;34;46;27;10;30;19;13;29;10;13;19;27;29;30;34;46;51
28;34;44;28;45;44;54;66;63;46;73;63;62;77;74;46;54;62;63;63;66;73;74;77
49;17;46;30;10;44;78;49;83;46;10;42;60;55;83;10;42;46;49;55;60;78;83;83
3;43;49;19;34;48;18;34;37;43;70;71;50;81;90;18;34;37;43;50;70;71;81;90
24;39;47;7;45;32;30;67;54;33;72;67;49;88;77;30;33;49;54;67;67;72;77;88
49;14;7;14;38;0;44;85;29;19;40;-3;11;26;0;-3;0;11;19;26;29;40;44;85
39;15;8;12;47;37;46;73;56;20;51;32;3;37;44;3;20;32;37;44;46;51;56;73
25;13;18;34;19;37;51;40;58;31;27;38;38;26;50;26;27;31;38;38;40;50;51;58
16;23;1;38;43;40;40;41;40;42;46;62;37;43;21;21;37;40;40;41;42;43;46;62
36;33;14;30;40;30;64;63;61;50;53;47;40;50;33;33;40;47;50;50;53;61;63;64
24;5;8;9;27;28;13;48;39;-1;15;17;4;32;36;-1;4;13;15;17;32;36;39;48
43;49;35;11;10;48;53;39;79;57;44;85;44;28;73;28;39;44;44;53;57;73;79;85
36;30;13;2;49;23;23;67;49;24;78;53;4;60;35;4;23;24;35;49;53;60;67;78
18;45;6;10;42;11;10;40;24;46;74;56;1;46;-1;-1;1;10;24;40;46;46;56;74
21;39;33;15;45;39;27;54;52;44;79;69;32;71;68;27;32;44;52;54;68;69;71;79
27;29;25;49;19;20;74;45;36;69;38;38;66;39;36;36;36;38;38;39;45;66;69;74
48;31;9;1;25;15;30;57;49;21;55;32;4;33;13;4;13;21;30;32;33;49;55;57
27;8;3;22;10;19;41;30;45;12;10;25;12;-1;8;-1;8;10;12;12;25;30;41;45
42;26;16;42;40;47;66;66;86;54;58;62;47;37;59;37;47;54;58;59;62;66;66;86
35;40;20;37;39;49;64;58;68;71;59;81;53;39;50;39;50;53;58;59;64;68;71;81
36;6;9;43;44;28;64;64;61;39;50;23;49;49;21;21;23;39;49;49;50;61;64;64
32;34;20;31;28;42;58;45;64;62;62;62;38;40;47;38;40;45;47;58;62;62;62;64
43;45;27;38;46;27;72;76;60;83;78;72;49;62;40;40;49;60;62;72;72;76;78;83
14;4;48;20;47;20;16;50;21;12;42;8;64;87;67;8;12;16;21;42;50;64;67;87
29;38;16;26;16;5;38;41;20;59;45;40;39;23;14;14;20;23;38;39;40;41;45;59
30;24;47;31;26;3;58;52;20;49;41;14;73;61;49;14;20;41;49;49;52;58;61;73
8;1;26;48;9;2;36;11;-10;38;-3;-14;66;25;20;-14;-10;-3;11;20;25;36;38;66
24;23;48;11;5;41;30;18;54;22;12;56;54;49;81;12;18;22;30;49;54;54;56;81
29;17;25;9;35;19;24;62;48;14;39;21;32;46;29;14;21;24;29;32;39;46;48;62
43;25;43;17;45;40;47;77;81;35;53;50;56;76;70;35;47;50;53;56;70;76;77;81
31;7;32;6;41;23;20;54;39;-6;34;29;23;59;52;-6;20;23;29;34;39;52;54;59
43;31;24;23;31;13;63;57;39;34;44;32;27;39;31;27;31;32;34;39;39;44;57;63
47;47;26;47;15;49;82;54;78;89;59;80;63;36;55;36;54;55;59;63;78;80;82;89
17;6;18;43;46;31;49;43;29;43;32;29;45;60;41;29;29;32;41;43;43;45;49;60
11;2;19;27;12;15;35;7;14;28;14;17;44;13;15;7;13;14;14;15;17;28;35;44
28;1;41;11;2;39;22;11;55;7;-5;30;52;39;70;-5;7;11;22;30;39;52;55;70
42;24;38;36;14;45;66;52;85;50;27;56;60;41;80;27;41;50;52;56;60;66;80;85
49;24;40;19;22;37;64;65;81;37;33;53;55;54;64;33;37;53;54;55;64;64;65;81
37;44;22;43;32;20;68;52;49;81;63;60;57;48;41;41;48;49;52;57;60;63;68;81
1;42;29;27;12;9;15;9;-1;68;49;45;56;41;22;-1;9;15;22;41;45;49;56;68
47;46;14;47;3;9;81;42;47;91;41;42;51;6;19;6;19;41;42;42;47;51;81;91
15;34;46;46;35;25;42;35;25;74;60;55;91;74;69;25;35;42;55;60;69;74;74;91
4;20;11;35;12;11;23;5;12;50;13;20;28;21;8;5;8;12;13;20;21;23;28;50
21;38;11;22;8;10;31;20;30;54;39;45;33;8;19;8;19;20;30;31;33;39;45;54
12;19;22;41;37;34;50;36;36;57;47;53;53;54;52;36;36;47;50;52;53;53;54;57
49;21;21;41;0;37;73;44;85;46;21;53;62;21;41;21;21;41;44;46;53;62;73;85
42;3;1;37;49;48;69;88;87;33;41;35;22;46;36;22;33;35;36;41;46;69;87;88
5;40;16;30;19;6;34;21;0;61;41;31;36;28;18;0;18;21;28;31;34;36;41;61
5;2;30;31;8;15;34;13;8;24;-4;4;51;23;26;-4;4;8;13;23;24;26;34;51
1;13;8;33;21;19;20;19;4;32;21;25;26;18;23;4;18;19;20;21;23;25;26;32
37;46;24;27;44;7;56;62;33;66;81;40;45;66;30;30;33;40;45;56;62;66;66;81
27;9;20;2;11;24;12;18;37;4;16;31;8;15;40;4;8;12;15;16;18;31;37;40
0;15;15;41;5;17;31;1;1;49;9;24;38;0;12;0;1;1;9;12;24;31;38;49
40;22;20;14;37;18;42;72;54;18;44;30;26;56;18;18;18;26;30;42;44;54;56;72
11;47;4;3;29;18;8;34;15;49;60;64;-9;29;12;-9;8;12;15;29;34;49;60;64
47;36;9;34;18;40;67;57;75;70;51;67;38;13;31;13;31;38;51;57;67;67;70;75
14;49;36;34;15;15;35;12;13;82;50;47;54;34;33;12;13;33;34;35;47;50;54;82
30;4;4;43;28;22;62;53;40;47;28;7;37;14;16;7;14;16;28;37;40;47;53;62
49;38;14;6;21;11;50;69;58;41;42;46;18;31;6;6;18;31;41;42;46;50;58;69
21;20;20;22;7;35;39;20;44;40;21;45;22;21;53;20;21;21;22;39;40;44;45;53
15;42;5;12;43;11;13;53;21;44;78;50;9;44;11;9;11;13;21;44;44;50;53;78
46;23;16;0;24;21;35;62;62;9;27;24;6;30;21;6;9;21;24;27;30;35;62;62
17;3;8;12;32;11;14;31;9;10;33;0;3;22;2;0;2;3;9;10;14;22;31;33
18;31;11;36;7;7;36;23;6;50;21;26;31;11;1;1;6;11;21;23;26;31;36;50
27;17;29;29;45;48;45;55;67;31;50;53;46;59;67;31;45;46;50;53;55;59;67;67
1;21;36;2;43;38;-10;29;23;14;57;59;31;75;62;-10;14;23;29;31;57;59;62;75
49;45;17;32;13;34;69;62;70;76;47;66;42;25;35;25;35;42;47;62;66;69;70;76
48;36;5;13;29;28;60;72;74;33;47;49;-2;30;22;-2;22;30;33;47;49;60;72;74
47;40;45;7;14;46;51;42;88;28;48;81;48;48;71;28;42;48;48;48;51;71;81;88
24;19;20;11;28;9;35;34;32;16;46;19;29;36;24;16;19;24;29;32;34;35;36;46
38;19;5;21;23;1;39;44;36;25;32;15;6;28;-10;-10;6;15;25;28;32;36;39;44
0;43;47;48;43;19;32;36;0;85;69;52;86;79;46;0;32;36;46;52;69;79;85;86
20;27;33;2;15;13;18;32;22;19;38;31;28;47;26;18;19;22;26;28;31;32;38;47
2;42;41;12;26;3;5;14;1;35;51;33;51;53;29;1;5;14;29;33;35;51;51;53
10;14;12;41;1;8;45;-5;3;50;6;8;53;4;11;-5;3;4;6;8;11;45;50;53
48;47;0;49;24;43;97;72;83;96;59;70;31;12;28;12;28;31;59;70;72;83;96;97
