q0p0;q0p1;q1p0;q1p1;q1p2;s[0, 2];s[0, 3];s[0, 4];s[1, 2];s[1, 3];s[1, 4];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5
38;36;47;4;10;69;42;44;71;29;32;29;32;42;44;69;71
31;38;13;29;9;28;48;23;49;65;35;23;28;35;48;49;65
48;5;19;40;48;65;76;89;9;35;53;9;35;53;65;76;89
20;15;26;31;31;26;33;31;32;35;46;26;31;32;33;35;46
44;21;8;5;28;40;29;58;10;6;35;6;10;29;35;40;58
18;0;18;7;18;23;24;30;16;-5;3;-5;3;16;23;24;30
4;39;10;39;32;-2;37;21;45;71;53;-2;21;37;45;53;71
23;44;43;30;6;50;39;10;70;61;45;10;39;45;50;61;70
14;13;10;22;24;20;27;20;22;18;18;18;18;20;20;22;27
49;45;49;14;14;94;54;52;89;57;48;48;52;54;57;89;94
45;4;28;17;28;69;53;57;30;20;13;13;20;30;53;57;69
41;47;25;17;15;51;45;53;56;58;54;45;51;53;54;56;58
33;13;28;29;20;44;58;50;37;39;19;19;37;39;44;50;58
5;37;24;7;32;11;12;32;59;41;69;11;12;32;41;59;69
14;43;14;3;24;25;5;18;49;32;64;5;18;25;32;49;64
37;8;28;46;18;58;78;46;35;43;10;10;35;43;46;58;78
17;5;31;40;30;28;43;37;22;33;24;22;24;28;33;37;43
47;1;21;1;15;68;45;52;22;-14;7;-14;7;22;45;52;68
2;42;9;20;14;-8;5;11;47;50;44;-8;5;11;44;47;50
37;19;42;40;5;63;65;33;49;41;7;7;33;41;49;63;65
43;43;20;26;21;57;52;51;62;51;58;51;51;52;57;58;62
36;33;8;3;23;39;22;44;35;36;46;22;35;36;39;44;46
15;34;0;28;4;1;25;15;20;53;32;1;15;20;25;32;53
4;16;40;41;15;25;30;11;45;48;25;11;25;25;30;45;48
1;4;18;20;3;12;4;-11;16;16;-7;-11;-7;4;12;16;16
10;32;14;30;21;18;37;12;43;55;49;12;18;37;43;49;55
22;16;0;37;46;22;52;55;9;53;57;9;22;52;53;55;57
30;41;32;11;2;52;23;23;67;32;23;23;23;23;32;52;67
7;20;44;46;4;43;44;-3;58;61;10;-3;10;43;44;58;61
41;10;34;24;10;60;56;35;31;32;16;16;31;32;35;56;60
14;15;35;41;6;39;55;16;44;53;17;16;17;39;44;53;55
43;41;3;1;28;26;42;69;36;25;51;25;26;36;42;51;69
11;16;17;36;30;15;29;40;20;42;44;15;20;29;40;42;44
32;33;3;17;18;22;42;38;17;50;45;17;22;38;42;45;50
2;38;23;20;42;9;3;37;50;40;64;3;9;37;40;50;64
18;19;10;3;6;16;6;12;15;20;25;6;12;15;16;20;25
32;7;28;0;31;44;32;52;27;-9;26;-9;26;27;32;44;52
35;31;49;38;27;68;57;50;69;50;45;45;50;50;57;68;69
20;9;7;25;21;13;33;26;1;15;18;1;13;15;18;26;33
33;17;19;37;21;43;68;36;18;39;33;18;33;36;39;43;68
48;38;38;9;20;86;46;67;67;43;45;43;45;46;67;67;86
25;41;7;3;32;14;18;54;39;30;65;14;18;30;39;54;65
3;39;38;34;46;28;36;42;71;71;78;28;36;42;71;71;78
42;27;15;48;3;56;75;45;22;60;19;19;22;45;56;60;75
19;13;29;1;40;40;18;48;36;8;34;8;18;34;36;40;48
39;41;6;22;22;32;43;48;29;54;52;29;32;43;48;52;54
14;14;28;14;31;27;24;34;32;25;37;24;25;27;32;34;37
46;32;13;23;23;58;65;56;44;42;38;38;42;44;56;58;65
34;28;3;34;6;32;51;34;23;42;20;20;23;32;34;42;51
37;24;11;15;41;37;45;61;26;20;62;20;26;37;45;61;62
48;47;16;26;47;46;68;76;58;59;76;46;58;59;68;76;76
22;33;4;23;40;21;31;54;29;38;63;21;29;31;38;54;63
19;14;25;3;40;33;6;47;38;17;39;6;17;33;38;39;47
12;29;40;28;35;51;29;46;59;56;52;29;46;51;52;56;59
42;41;5;22;28;36;44;67;29;45;64;29;36;44;45;64;67
35;12;12;26;18;29;47;50;5;36;29;5;29;29;36;47;50
39;0;22;38;42;59;71;69;4;23;25;4;23;25;59;69;71
39;17;15;15;48;41;45;70;14;15;56;14;15;41;45;56;70
13;26;39;42;3;34;40;12;57;52;13;12;13;34;40;52;57
44;25;33;1;15;65;34;44;48;21;38;21;34;38;44;48;65
5;25;34;15;42;37;16;37;53;25;60;16;25;37;37;53;60
24;9;7;27;32;13;35;55;15;23;39;13;15;23;35;39;55
48;28;28;3;2;76;49;31;43;22;26;22;26;31;43;49;76
23;4;41;41;30;64;53;42;30;26;22;22;26;30;42;53;64
4;22;44;15;8;45;-1;2;49;19;25;-1;2;19;25;45;49
14;22;28;46;38;33;50;41;43;52;44;33;41;43;44;50;52
42;14;16;0;23;52;34;52;17;-1;21;-1;17;21;34;52;52
32;0;28;31;16;41;51;42;22;20;-2;-2;20;22;41;42;51
16;47;31;18;16;33;32;22;76;50;43;22;32;33;43;50;76
34;19;20;33;33;36;62;54;20;48;33;20;33;36;48;54;62
43;1;41;30;22;80;69;62;31;30;8;8;30;31;62;69;80
46;48;15;14;13;55;56;42;54;60;54;42;54;54;55;56;60
21;48;5;5;28;15;23;38;43;51;62;15;23;38;43;51;62
12;12;49;44;0;57;46;11;56;43;-3;-3;11;43;46;56;57
19;37;5;12;31;13;22;45;26;44;51;13;22;26;44;45;51
10;49;42;25;30;39;29;27;85;65;79;27;29;39;65;79;85
7;11;12;0;13;10;-12;20;21;-9;22;-12;-9;10;20;21;22
22;3;30;40;24;38;55;35;14;39;24;14;24;35;38;39;55
28;49;5;25;40;17;48;66;44;58;75;17;44;48;58;66;75
3;44;48;31;8;38;18;-4;85;74;46;-4;18;38;46;74;85
23;39;24;48;41;47;67;57;51;77;65;47;51;57;65;67;77
10;21;33;41;36;28;39;36;35;57;41;28;35;36;39;41;57
24;38;23;49;9;43;54;19;61;67;30;19;30;43;54;61;67
8;3;8;21;20;16;25;18;-8;12;5;-8;5;12;16;18;25
5;31;27;39;6;20;34;0;42;50;17;0;17;20;34;42;50
47;22;14;28;27;58;64;74;30;30;33;30;30;33;58;64;74
12;15;0;15;17;-6;7;23;3;22;20;-6;3;7;20;22;23
1;7;47;40;41;37;29;36;46;31;45;29;31;36;37;45;46
30;34;14;14;18;28;32;28;33;39;36;28;28;32;33;36;39
29;24;25;40;48;45;67;66;38;55;55;38;45;55;55;66;67
30;29;1;33;43;13;53;65;10;58;53;10;13;53;53;58;65
14;27;48;21;26;48;35;37;61;45;42;35;37;42;45;48;61
10;10;45;31;10;55;27;13;35;25;3;3;13;25;27;35;55
15;23;14;22;31;27;36;38;24;45;54;24;27;36;38;45;54
22;6;8;31;40;26;36;48;8;24;30;8;24;26;30;36;48
24;9;47;48;22;65;72;27;45;49;17;17;27;45;49;65;72
33;42;41;12;40;63;40;53;76;50;81;40;50;53;63;76;81
46;12;29;2;32;75;33;74;28;10;44;10;28;33;44;74;75
22;46;19;39;46;22;53;57;45;83;90;22;45;53;57;83;90
45;47;29;29;15;62;71;45;64;74;53;45;53;62;64;71;74
33;22;39;35;35;65;53;56;48;38;57;38;48;53;56;57;65
40;48;6;3;43;45;31;66;47;34;74;31;34;45;47;66;74
45;21;9;23;11;38;56;46;21;26;30;21;26;30;38;46;56
29;13;35;31;2;51;56;12;39;39;6;6;12;39;39;51;56
42;14;18;20;46;41;51;71;18;16;56;16;18;41;51;56;71
20;29;4;25;20;20;29;34;22;46;43;20;22;29;34;43;46
48;25;5;43;41;45;77;73;13;48;59;13;45;48;59;73;77
24;31;40;28;45;54;34;61;54;46;73;34;46;54;54;61;73
45;17;22;24;28;67;58;55;20;37;38;20;37;38;55;58;67
10;36;7;30;39;-2;29;47;36;56;64;-2;29;36;47;56;64
26;22;46;20;45;67;44;53;62;35;49;35;44;49;53;62;67
5;27;29;14;42;21;1;42;50;34;56;1;21;34;42;50;56
18;12;23;9;43;31;16;54;34;3;40;3;16;31;34;40;54
16;15;33;39;49;47;40;65;34;51;61;34;40;47;51;61;65
16;1;2;6;49;0;12;45;-8;-13;33;-13;-8;0;12;33;45
47;37;18;3;36;56;48;83;52;24;72;24;48;52;56;72;83
23;28;27;34;21;39;57;30;49;49;46;30;39;46;49;49;57
29;14;0;22;40;26;41;69;-6;23;50;-6;23;26;41;50;69
18;5;3;1;46;12;0;55;-9;-12;34;-12;-9;0;12;34;55
38;37;0;39;33;18;59;52;23;67;53;18;23;52;53;59;67
3;29;4;37;38;-1;27;32;33;55;67;-1;27;32;33;55;67
41;10;7;23;42;34;55;67;16;29;41;16;29;34;41;55;67
9;47;33;35;42;40;28;44;79;72;75;28;40;44;72;75;79
2;34;2;48;43;-5;41;43;22;75;69;-5;22;41;43;69;75
49;19;31;34;5;80;71;42;32;47;17;17;32;42;47;71;80
44;13;10;1;48;49;39;91;11;-5;46;-5;11;39;46;49;91
0;26;22;43;46;18;29;29;29;51;58;18;29;29;29;51;58
21;38;14;36;13;34;40;30;49;69;49;30;34;40;49;49;69
3;37;2;39;40;1;41;29;35;63;66;1;29;35;41;63;66
39;44;14;17;45;45;36;79;45;42;73;36;42;45;45;73;79
39;40;30;48;21;66;76;55;60;69;61;55;60;61;66;69;76
37;16;8;14;23;29;50;43;13;13;19;13;13;19;29;43;50
6;48;18;36;27;4;25;25;59;65;68;4;25;25;59;65;68
33;7;17;36;30;46;64;57;5;42;36;5;36;42;46;57;64
39;31;21;3;11;58;37;49;48;27;37;27;37;37;48;49;58
46;25;7;16;18;34;46;50;22;22;24;22;22;24;34;46;50
6;25;28;35;25;19;27;16;42;41;36;16;19;27;36;41;42
2;8;6;24;46;7;11;43;-5;22;46;-5;7;11;22;43;46
44;7;8;40;33;46;65;73;-4;39;32;-4;32;39;46;65;73
7;9;11;34;8;15;28;10;1;23;16;1;10;15;16;23;28
26;48;7;5;30;22;16;50;46;37;71;16;22;37;46;50;71
14;39;38;23;16;45;35;11;72;56;43;11;35;43;45;56;72
23;44;32;39;13;40;48;24;72;76;52;24;40;48;52;72;76
8;27;38;45;8;46;45;0;55;69;30;0;30;45;46;55;69
36;14;0;9;49;18;32;85;-1;8;54;-1;8;18;32;54;85
41;9;18;7;47;53;37;68;19;-4;40;-4;19;37;40;53;68
17;25;41;17;4;54;31;19;51;32;16;16;19;31;32;51;54
32;36;10;18;4;32;33;35;37;51;38;32;33;35;37;38;51
26;17;8;25;37;17;50;53;21;30;51;17;21;30;50;51;53
34;23;2;7;43;16;30;61;13;13;54;13;13;16;30;54;61
16;29;33;14;20;29;21;33;49;42;45;21;29;33;42;45;49
13;36;29;46;16;27;48;28;46;63;43;27;28;43;46;48;63
4;25;48;17;31;44;15;30;66;40;48;15;30;40;44;48;66
34;13;46;21;27;70;55;42;39;26;36;26;36;39;42;55;70
37;4;45;11;42;75;36;60;37;1;46;1;36;37;46;60;75
12;33;48;32;37;52;24;30;77;59;50;24;30;50;52;59;77
24;14;3;38;45;20;57;51;6;50;51;6;20;50;51;51;57
35;24;46;45;16;66;77;37;59;53;22;22;37;53;59;66;77
22;48;46;42;35;60;63;56;92;85;65;56;60;63;65;85;92
45;8;30;13;9;65;52;38;31;1;15;1;15;31;38;52;65
42;40;3;32;5;27;63;36;34;67;39;27;34;36;39;63;67
5;10;44;21;29;32;24;34;43;19;33;19;24;32;33;34;43
44;23;34;33;41;63;65;75;54;48;57;48;54;57;63;65;75
46;24;32;2;25;75;43;64;54;23;42;23;42;43;54;64;75
41;2;42;11;15;70;41;41;24;0;-2;-2;0;24;41;41;70
20;4;10;7;46;10;16;61;7;9;47;7;9;10;16;47;61
2;32;44;25;35;46;22;30;71;40;59;22;30;40;46;59;71
22;22;22;5;33;38;23;41;24;14;49;14;23;24;38;41;49
7;14;19;27;31;9;22;35;16;23;27;9;16;22;23;27;35
16;8;17;21;13;15;25;14;25;18;12;12;14;15;18;25;25
49;4;41;30;8;87;60;53;30;32;6;6;30;32;53;60;87
17;24;38;6;2;39;21;7;44;11;17;7;11;17;21;39;44
31;30;31;39;39;61;51;62;43;54;51;43;51;51;54;61;62
46;9;18;14;18;58;59;50;10;3;22;3;10;22;50;58;59
0;45;21;47;5;11;39;-3;46;91;46;-3;11;39;46;46;91
16;15;36;44;22;43;59;33;43;42;35;33;35;42;43;43;59
47;14;46;26;49;76;61;89;52;22;46;22;46;52;61;76;89
42;9;37;38;49;78;69;83;36;32;39;32;36;39;69;78;83
4;23;11;6;27;13;-7;30;14;17;30;-7;13;14;17;30;30
9;45;16;10;45;18;3;35;44;50;79;3;18;35;44;50;79
7;23;34;7;32;39;11;30;52;16;54;11;16;30;39;52;54
24;14;15;45;7;30;56;29;16;46;21;16;21;29;30;46;56
39;5;49;15;24;84;48;43;40;18;27;18;27;40;43;48;84
39;33;29;42;5;64;68;40;56;55;21;21;40;55;56;64;68
30;33;14;16;35;42;46;48;46;46;59;42;46;46;46;48;59
39;26;12;34;19;44;66;40;19;58;27;19;27;40;44;58;66
47;21;10;46;19;55;90;56;31;49;36;31;36;49;55;56;90
12;25;35;18;13;41;14;20;42;32;24;14;20;24;32;41;42
7;19;42;19;30;43;8;36;51;25;38;8;25;36;38;43;51
46;23;13;4;14;44;36;58;29;16;32;16;29;32;36;44;58
43;17;21;9;42;50;45;67;28;10;46;10;28;45;46;50;67
17;9;9;21;20;6;27;17;0;16;14;0;6;14;16;17;27
5;31;32;27;14;22;26;4;50;55;35;4;22;26;35;50;55
49;29;8;19;34;45;61;64;35;37;58;35;37;45;58;61;64
25;34;19;41;21;41;51;34;40;72;38;34;38;40;41;51;72
12;14;14;36;4;22;43;-3;11;34;7;-3;7;11;22;34;43
8;38;26;8;41;21;4;31;52;45;71;4;21;31;45;52;71
49;17;22;0;38;54;44;80;37;10;44;10;37;44;44;54;80
46;36;49;8;25;87;35;69;85;27;59;27;35;59;69;85;87
0;13;20;40;0;9;20;-13;30;50;0;-13;0;9;20;30;50
22;9;48;33;41;57;40;48;53;42;30;30;40;42;48;53;57
26;33;23;19;44;37;40;65;49;32;75;32;37;40;49;65;75
48;11;38;46;42;72;76;88;46;40;50;40;46;50;72;76;88
16;22;10;29;15;12;45;13;25;31;19;12;13;19;25;31;45
48;46;27;8;43;59;37;75;56;45;75;37;45;56;59;75;75
25;4;30;27;11;43;50;30;26;16;5;5;16;26;30;43;50
48;49;41;4;49;73;41;88;82;45;82;41;45;73;82;82;88
13;27;24;22;9;18;15;16;38;44;25;15;16;18;25;38;44
6;47;24;10;12;13;0;8;56;37;54;0;8;13;37;54;56
18;4;2;39;0;2;45;5;-6;29;-12;-12;-6;2;5;29;45
2;29;41;5;4;43;0;5;66;29;30;0;5;29;30;43;66
40;23;23;28;41;48;64;78;44;44;61;44;44;48;61;64;78
23;36;32;45;22;43;57;28;64;62;49;28;43;49;57;62;64
16;6;24;36;25;21;48;32;30;41;23;21;23;30;32;41;48
5;44;43;49;42;29;44;34;71;85;69;29;34;44;69;71;85
34;13;48;45;25;82;75;58;48;55;25;25;48;55;58;75;82
6;35;48;25;13;53;30;18;79;55;36;18;30;36;53;55;79
47;7;28;15;25;65;62;70;31;9;15;9;15;31;62;65;70
46;40;2;20;48;43;59;86;27;51;88;27;43;51;59;86;88
31;37;42;22;36;60;42;47;64;54;65;42;47;54;60;64;65
5;45;31;46;47;34;32;37;59;77;76;32;34;37;59;76;77
44;47;19;21;1;59;65;33;65;65;33;33;33;59;65;65;65
49;31;49;34;7;98;63;51;60;58;31;31;51;58;60;63;98
42;8;49;41;5;90;68;43;51;32;5;5;32;43;51;68;90
48;20;17;9;4;51;47;41;24;20;18;18;20;24;41;47;51
15;33;0;43;6;2;38;20;32;65;23;2;20;23;32;38;65
5;45;27;31;7;25;16;10;61;74;41;10;16;25;41;61;74
9;5;4;10;48;6;12;55;6;-2;43;-2;6;6;12;43;55
8;47;19;35;20;9;28;24;61;70;50;9;24;28;50;61;70
34;19;49;30;16;72;60;46;67;30;25;25;30;46;60;67;72
40;34;40;43;34;66;69;62;66;58;48;48;58;62;66;66;69
15;19;35;17;35;44;16;39;43;27;41;16;27;39;41;43;44
25;33;29;40;21;43;58;32;59;54;34;32;34;43;54;58;59
26;14;32;14;47;50;20;69;46;25;45;20;25;45;46;50;69
41;23;20;36;14;50;67;47;32;53;22;22;32;47;50;53;67
41;11;40;36;41;66;64;81;48;31;48;31;48;48;64;66;81
46;39;24;12;30;53;55;75;55;33;52;33;52;53;55;55;75
28;18;42;20;45;65;45;59;45;35;44;35;44;45;45;59;65
28;46;19;28;4;38;53;12;53;61;50;12;38;50;53;53;61
4;40;31;19;32;17;23;29;65;39;69;17;23;29;39;65;69
25;20;40;5;28;62;29;39;48;17;42;17;29;39;42;48;62
15;23;19;0;5;21;-3;7;31;20;10;-3;7;10;20;21;31
31;12;10;18;49;36;46;80;20;23;41;20;23;36;41;46;80
16;11;4;32;16;10;41;31;11;24;26;10;11;24;26;31;41
37;23;36;17;16;72;42;44;48;23;20;20;23;42;44;48;72
38;20;5;13;3;24;34;40;16;32;3;3;16;24;32;34;40
28;44;13;21;4;40;47;24;53;65;33;24;33;40;47;53;65
42;12;39;15;37;68;38;60;51;25;37;25;37;38;51;60;68
33;25;1;13;3;23;36;33;21;20;24;20;21;23;24;33;36
1;12;6;34;12;2;26;8;13;36;18;2;8;13;18;26;36
18;43;15;20;12;16;19;20;41;44;42;16;19;20;41;42;44
13;36;21;28;16;25;29;16;50;58;52;16;25;29;50;52;58
6;19;2;22;45;0;28;37;18;27;45;0;18;27;28;37;45
19;8;25;4;37;34;15;56;31;-2;40;-2;15;31;34;40;56
29;14;20;4;8;41;28;19;28;16;19;16;19;19;28;28;41
16;35;9;11;48;16;18;46;30;39;83;16;18;30;39;46;83
0;22;3;35;26;-7;34;8;18;54;29;-7;8;18;29;34;54
28;12;23;16;10;38;24;34;20;25;17;17;20;24;25;34;38
33;45;30;26;27;54;40;56;74;71;71;40;54;56;71;71;74
30;0;17;47;10;36;58;31;4;27;4;4;4;27;31;36;58
46;29;19;26;32;63;59;71;30;39;45;30;39;45;59;63;71
1;23;40;47;32;41;30;20;45;52;53;20;30;41;45;52;53
24;18;39;18;47;44;33;66;55;24;46;24;33;44;46;55;66
18;3;37;45;3;39;48;12;26;43;-3;-3;12;26;39;43;48
16;2;14;31;42;12;27;46;11;14;37;11;12;14;27;37;46
13;4;34;42;49;42;54;48;25;40;41;25;40;41;42;48;54
34;18;13;7;38;39;30;54;13;20;51;13;20;30;39;51;54
38;24;33;45;23;65;67;50;55;68;27;27;50;55;65;67;68
40;9;16;3;45;49;35;76;8;-5;36;-5;8;35;36;49;76
43;48;11;38;4;49;71;37;39;82;33;33;37;39;49;71;82
40;0;6;14;0;39;51;23;-1;0;-10;-10;-1;0;23;39;51
40;29;45;39;5;81;60;42;68;48;30;30;42;48;60;68;81
37;45;47;22;2;76;41;22;81;67;41;22;41;41;67;76;81
16;13;45;33;32;56;39;48;58;44;25;25;39;44;48;56;58
14;37;47;24;27;53;21;33;67;59;56;21;33;53;56;59;67
30;15;13;32;7;37;51;36;8;28;10;8;10;28;36;37;51
27;24;40;22;14;51;38;33;62;32;28;28;32;33;38;51;62
25;41;11;9;37;29;21;44;47;42;61;21;29;42;44;47;61
36;33;1;12;2;17;32;36;17;45;24;17;17;24;32;36;45
26;23;46;35;17;71;44;24;61;41;23;23;24;41;44;61;71
44;17;27;49;36;57;76;72;34;56;37;34;37;56;57;72;76
15;1;41;29;30;40;30;32;40;19;29;19;29;30;32;40;40
39;35;32;46;19;63;67;58;67;75;39;39;58;63;67;67;75
40;8;30;8;17;55;48;50;37;6;6;6;6;37;48;50;55
46;8;29;25;49;57;69;93;30;24;39;24;30;39;57;69;93
45;32;25;6;25;53;46;51;44;33;56;33;44;46;51;53;56
36;12;46;23;32;71;48;67;45;23;25;23;25;45;48;67;71
6;26;24;41;26;16;44;16;31;53;34;16;16;31;34;44;53
29;4;48;3;49;71;27;62;52;7;33;7;27;33;52;62;71
26;44;34;40;42;59;47;63;68;73;69;47;59;63;68;69;73
2;2;20;28;28;6;22;13;9;18;11;6;9;11;13;18;22
24;25;43;11;4;63;19;14;64;34;11;11;14;19;34;63;64
38;32;2;38;15;26;74;51;32;55;43;26;32;43;51;55;74
23;5;17;37;20;38;44;37;9;22;24;9;22;24;37;38;44
46;32;23;14;30;62;43;75;44;35;42;35;42;43;44;62;75
6;42;42;43;28;47;30;30;77;70;52;30;30;47;52;70;77
24;9;10;33;35;21;45;48;19;22;30;19;21;22;30;45;48
35;46;3;21;15;24;37;42;37;47;41;24;37;37;41;42;47
36;45;15;45;10;40;78;40;59;89;50;40;40;50;59;78;89
3;40;0;30;0;1;32;-1;24;70;32;-1;1;24;32;32;70
8;2;11;40;16;0;43;10;-3;42;-1;-3;-1;0;10;42;43
6;4;25;7;27;24;3;24;18;11;13;3;11;13;18;24;24
24;30;43;0;1;65;14;12;53;12;11;11;12;12;14;53;65
47;37;33;33;34;73;63;62;53;68;67;53;62;63;67;68;73
49;29;34;47;11;73;96;50;50;64;38;38;50;50;64;73;96
29;10;15;21;3;24;33;17;25;28;10;10;17;24;25;28;33
38;37;6;30;25;35;54;62;37;57;46;35;37;46;54;57;62
2;14;11;49;43;1;44;36;13;54;44;1;13;36;44;44;54
8;28;21;19;25;16;8;16;38;47;52;8;16;16;38;47;52
47;5;26;10;0;68;56;34;14;3;2;2;3;14;34;56;68
34;26;2;7;29;35;22;48;11;33;38;11;22;33;35;38;48
11;8;33;40;30;41;37;31;33;41;37;31;33;37;37;41;41
27;31;46;19;21;53;35;40;72;33;43;33;35;40;43;53;72
31;20;21;40;3;45;61;23;27;53;10;10;23;27;45;53;61
21;3;33;19;25;41;40;36;20;6;10;6;10;20;36;40;41
44;19;20;28;7;46;69;32;37;28;17;17;28;32;37;46;69
23;42;1;7;26;8;17;33;34;40;55;8;17;33;34;40;55
15;4;34;37;28;29;40;34;32;24;29;24;29;29;32;34;40
1;30;20;29;8;19;13;7;37;54;30;7;13;19;30;37;54
14;17;13;38;35;18;51;34;18;51;41;18;18;34;41;51;51
26;36;26;49;17;33;68;30;53;77;48;30;33;48;53;68;77
21;45;2;31;33;18;41;44;28;73;66;18;28;41;44;66;73
24;46;27;45;20;40;60;41;70;78;65;40;41;60;65;70;78
43;20;43;19;31;69;50;70;59;29;43;29;43;50;59;69;70
36;3;1;12;14;23;40;42;-5;15;12;-5;12;15;23;40;42
46;7;13;30;4;42;64;30;18;37;11;11;18;30;37;42;64
4;28;22;0;2;14;-10;-1;36;22;20;-10;-1;14;20;22;36
13;49;41;21;38;53;28;32;85;60;86;28;32;53;60;85;86
7;24;5;22;1;-5;12;-3;24;30;16;-5;-3;12;16;24;30
28;29;18;44;32;30;68;48;42;72;42;30;42;42;48;68;72
16;19;5;45;29;21;55;34;6;61;37;6;21;34;37;55;61
31;18;40;22;19;59;35;45;56;39;19;19;35;39;45;56;59
19;12;13;49;39;19;61;52;17;46;47;17;19;46;47;52;61
24;34;48;1;46;65;6;50;71;27;60;6;27;50;60;65;71
18;23;26;37;29;35;44;36;31;48;41;31;35;36;41;44;48
9;23;21;0;6;23;1;-5;30;8;20;-5;1;8;20;23;30
37;37;7;27;3;29;50;24;24;53;36;24;24;29;36;50;53
32;45;21;34;48;45;59;79;64;62;90;45;59;62;64;79;90
37;41;23;23;22;45;48;40;48;45;44;40;44;45;45;48;48
19;20;7;0;22;13;11;40;22;8;36;8;11;13;22;36;40
18;3;23;2;9;34;12;12;25;1;-4;-4;1;12;12;25;34
49;45;4;41;13;37;71;44;34;80;44;34;37;44;44;71;80
2;36;1;14;31;-1;1;18;20;41;54;-1;1;18;20;41;54
46;2;5;33;12;46;72;44;-6;26;1;-6;1;26;44;46;72
49;35;44;39;15;79;81;59;70;56;42;42;56;59;70;79;81
25;7;32;45;37;54;55;61;24;44;43;24;43;44;54;55;61
34;32;28;5;24;43;35;55;47;21;49;21;35;43;47;49;55
6;14;16;30;20;3;29;21;24;26;17;3;17;21;24;26;29
36;14;19;10;11;42;45;43;28;23;19;19;23;28;42;43;45
13;25;7;21;41;20;16;36;18;26;54;16;18;20;26;36;54
10;45;48;13;4;47;23;5;90;41;46;5;23;41;46;47;90
40;10;9;41;20;48;81;49;5;34;23;5;23;34;48;49;81
33;31;35;16;14;49;37;39;55;29;31;29;31;37;39;49;55
38;27;6;5;38;31;32;56;17;18;59;17;18;31;32;56;59
42;29;26;41;43;50;75;65;35;63;58;35;50;58;63;65;75
7;34;0;6;28;-7;3;23;33;36;46;-7;3;23;33;36;46
20;39;48;48;17;48;56;23;82;79;39;23;39;48;56;79;82
10;12;35;14;13;26;15;20;33;22;14;14;15;20;22;26;33
47;22;14;35;34;41;68;73;20;57;40;20;40;41;57;68;73
18;5;46;39;3;45;37;14;44;33;-1;-1;14;33;37;44;45
32;6;8;30;14;27;62;43;-5;26;19;-5;19;26;27;43;62
38;36;1;35;41;24;54;72;22;54;65;22;24;54;54;65;72
22;45;23;1;5;38;6;15;64;33;30;6;15;30;33;38;64
49;32;12;49;2;52;95;36;30;64;20;20;30;36;52;64;95
10;4;10;49;41;12;42;43;4;48;45;4;12;42;43;45;48
3;21;41;6;8;27;8;1;53;11;29;1;8;11;27;29;53
26;0;12;24;15;22;38;24;11;7;2;2;7;11;22;24;38
30;8;1;18;45;19;30;66;-1;22;49;-1;19;22;30;49;66
40;26;22;3;27;61;35;66;32;23;44;23;32;35;44;61;66
25;24;12;32;33;18;39;48;19;52;43;18;19;39;43;48;52
42;39;14;7;29;53;35;65;51;35;54;35;35;51;53;54;65
49;33;28;14;20;64;48;66;50;45;43;43;45;48;50;64;66
41;36;7;14;46;35;43;76;38;34;69;34;35;38;43;69;76
47;6;43;2;2;83;32;43;31;7;2;2;7;31;32;43;83
9;47;44;21;3;45;29;-7;90;66;42;-7;29;42;45;66;90
14;43;23;3;36;29;11;32;53;42;71;11;29;32;42;53;71
0;30;44;35;46;29;26;28;55;62;75;26;28;29;55;62;75
25;3;46;23;9;70;31;31;34;16;0;0;16;31;31;34;70
49;40;30;44;24;65;80;71;53;79;49;49;53;65;71;79;80
17;25;18;6;37;15;15;52;25;25;46;15;15;25;25;46;52
42;16;9;13;42;50;41;81;21;19;52;19;21;41;50;52;81
23;1;9;14;20;15;27;27;-2;-4;3;-4;-2;3;15;27;27
28;34;40;37;0;59;48;24;56;68;18;18;24;48;56;59;68
48;15;24;33;37;67;64;81;36;28;45;28;36;45;64;67;81
44;21;23;23;22;57;59;56;28;24;24;24;24;28;56;57;59
47;44;39;4;27;67;46;62;70;40;57;40;46;57;62;67;70
38;43;8;47;0;38;79;21;51;73;25;21;25;38;51;73;79
13;31;36;23;40;37;35;33;56;43;68;33;35;37;43;56;68
23;14;36;23;41;55;41;55;41;26;42;26;41;41;42;55;55
37;39;32;26;30;49;63;52;67;65;61;49;52;61;63;65;67
45;41;13;25;22;54;56;52;49;57;50;49;50;52;54;56;57
37;7;43;12;40;68;35;74;43;6;42;6;35;42;43;68;74
28;12;15;32;40;30;54;51;8;29;32;8;29;30;32;51;54
35;17;29;36;41;60;52;56;31;49;42;31;42;49;52;56;60
31;48;37;36;5;55;67;28;72;64;53;28;53;55;64;67;72
45;34;6;25;49;46;68;80;34;42;78;34;42;46;68;78;80
42;42;48;38;12;85;65;48;88;65;49;48;49;65;65;85;88
49;44;24;9;21;73;38;68;56;41;58;38;41;56;58;68;73
39;29;18;24;34;45;54;67;42;34;57;34;42;45;54;57;67
34;5;17;4;0;51;30;22;20;4;-3;-3;4;20;22;30;51
23;44;20;30;49;30;46;63;46;73;92;30;46;46;63;73;92
47;26;20;0;11;67;43;47;33;14;19;14;19;33;43;47;67
15;6;25;25;47;28;39;49;29;15;35;15;28;29;35;39;49
25;47;38;40;2;49;64;10;68;72;42;10;42;49;64;68;72
