q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;q1p2;q1p3;s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[3, 4];s[3, 5];s[3, 6];s[3, 7];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15
1;28;23;40;13;19;37;44;1;9;29;36;29;37;46;69;25;31;42;50;35;49;66;68;1;9;25;29;29;31;35;36;37;42;46;49;50;66;68;69
30;36;29;3;35;31;33;5;58;57;48;19;51;49;64;40;48;41;61;15;31;17;32;3;3;15;17;19;31;32;40;41;48;48;49;51;57;58;61;64
3;27;10;29;41;34;4;31;35;24;-6;33;56;54;25;54;47;37;3;39;60;51;14;54;-6;3;14;24;25;33;35;37;39;47;51;54;54;54;56;60
10;27;24;30;13;44;29;0;18;41;20;3;34;70;39;9;34;60;46;22;35;59;42;28;3;9;18;20;22;28;34;34;35;39;41;42;46;59;60;70
14;28;24;2;40;6;42;22;39;17;47;17;51;17;53;36;57;17;46;38;40;7;36;11;7;11;17;17;17;17;36;36;38;39;40;46;47;51;53;57
17;43;30;16;16;49;24;30;17;49;40;38;40;78;52;65;40;78;37;51;17;60;32;40;17;17;32;37;38;40;40;40;40;49;51;52;60;65;78;78
28;15;47;18;0;31;46;24;13;44;69;47;15;38;52;26;37;78;92;60;13;45;52;26;13;13;15;26;26;37;38;44;45;47;52;52;60;69;78;92
49;41;18;40;29;29;39;14;59;59;80;62;69;65;69;49;31;32;55;14;54;56;66;51;14;31;32;49;51;54;55;56;59;59;62;65;66;69;69;80
32;31;21;17;11;7;17;36;40;23;37;52;31;25;36;62;19;13;21;53;28;13;32;36;13;13;19;21;23;25;28;31;32;36;36;37;40;52;53;62
44;0;46;42;0;13;13;16;44;41;46;48;0;-6;-1;-4;44;53;45;42;38;53;41;42;-6;-4;-1;0;38;41;41;42;42;44;44;45;46;48;53;53
6;46;12;26;18;6;44;38;16;3;34;33;50;52;89;74;25;3;37;45;27;23;54;56;3;3;16;23;25;27;33;34;37;45;50;52;54;56;74;89
37;15;0;40;12;27;30;30;37;44;66;65;11;40;34;31;-2;27;19;29;49;48;51;59;-2;11;19;27;29;31;34;37;40;44;48;49;51;59;65;66
37;20;39;20;34;37;31;18;67;70;50;47;48;41;47;30;54;68;70;40;43;57;44;36;30;36;40;41;43;44;47;47;48;50;54;57;67;68;70;70
24;0;5;47;32;0;8;6;36;19;26;24;32;-7;-4;-9;34;-3;-6;-9;66;31;50;35;-9;-9;-7;-6;-4;-3;19;24;26;31;32;34;35;36;50;66
20;34;9;1;3;30;48;37;21;34;67;47;28;48;62;68;5;38;56;32;-14;20;43;27;-14;5;20;21;27;28;32;34;38;43;47;48;56;62;67;68
6;0;21;17;29;44;21;6;19;50;26;-2;19;27;7;4;38;50;26;10;43;53;29;13;-2;4;7;10;13;19;19;26;26;27;29;38;43;50;50;53
6;47;34;29;47;33;8;6;51;23;-5;5;89;78;53;44;79;54;34;20;70;46;32;26;-5;5;20;23;26;32;34;44;46;51;53;54;70;78;79;89
13;43;26;19;0;28;46;34;-5;33;50;47;29;63;69;67;11;50;53;50;18;42;64;41;-5;11;18;29;33;41;42;47;50;50;50;53;63;64;67;69
29;22;28;31;0;6;41;23;25;35;50;32;5;9;57;31;12;15;59;48;23;18;70;41;5;9;12;15;18;23;25;31;32;35;41;48;50;57;59;70
9;25;33;27;37;47;21;27;33;47;21;30;43;68;31;38;64;76;38;41;48;69;47;53;21;30;31;33;38;38;41;43;47;47;48;53;64;68;69;76
24;36;27;11;27;42;7;22;44;46;31;27;60;66;25;48;44;61;16;36;23;52;13;21;13;16;21;23;25;27;31;36;44;44;46;48;52;60;61;66
27;17;38;34;22;48;5;35;34;70;19;58;30;45;22;42;43;68;40;73;44;69;39;53;19;22;30;34;39;40;42;43;44;45;53;58;68;69;70;73
39;49;11;22;27;28;40;7;61;63;73;39;56;57;71;40;30;37;39;16;35;40;46;24;16;24;30;35;37;39;39;40;40;46;56;57;61;63;71;73
49;46;48;13;47;14;3;10;94;52;52;43;76;40;29;37;78;51;46;38;56;19;-1;12;-1;12;19;29;37;38;40;43;46;51;52;52;56;76;78;94
38;22;32;37;49;17;13;31;74;49;33;50;61;36;24;35;62;41;40;43;85;39;38;55;24;33;35;36;38;39;40;41;43;49;50;55;61;62;74;85
20;12;44;19;29;29;48;3;31;43;60;16;40;23;44;15;56;62;90;27;38;42;57;15;15;15;16;23;27;31;38;40;42;43;44;56;57;60;62;90
44;8;9;41;1;7;49;23;27;32;84;60;-3;8;52;15;3;-3;48;14;39;41;74;44;-3;-3;3;8;14;15;27;32;39;41;44;48;52;60;74;84
10;29;29;4;36;7;33;14;35;9;29;7;56;29;48;36;45;36;48;29;36;8;17;-1;-1;7;8;9;17;29;29;29;35;36;36;36;45;48;48;56
42;9;38;44;22;3;12;42;46;45;45;66;13;3;1;40;58;38;49;67;48;45;40;76;1;3;13;38;40;40;45;45;45;46;48;49;58;66;67;76
31;17;5;20;46;31;29;12;65;52;49;25;57;36;40;17;49;16;17;3;56;38;33;26;3;16;17;17;25;26;33;36;38;40;49;49;52;56;57;65
14;47;3;35;12;28;45;38;26;36;55;41;40;69;82;75;11;13;32;34;34;53;65;53;11;13;26;32;34;34;36;40;41;53;53;55;65;69;75;82
49;19;48;19;6;43;4;28;38;86;35;71;21;51;10;45;47;72;48;64;18;53;5;36;5;10;18;21;35;36;38;45;47;48;51;53;64;71;72;86
1;4;4;39;25;8;45;34;7;-8;34;22;27;-6;43;23;12;-5;31;38;62;33;81;58;-8;-6;-5;7;12;22;23;27;31;33;34;38;43;58;62;81
1;7;35;11;18;29;22;11;13;30;5;12;17;17;17;1;49;52;44;43;25;36;29;13;1;5;12;13;13;17;17;17;25;29;30;36;43;44;49;52
48;37;49;10;37;16;8;13;82;46;48;47;72;33;26;34;70;47;40;42;41;11;0;16;0;11;16;26;33;34;40;41;42;46;47;47;48;70;72;82
38;31;45;12;8;32;17;37;29;62;47;55;24;49;40;56;53;65;58;63;19;30;28;43;19;24;28;29;30;40;43;47;49;53;55;56;58;62;63;65
36;46;17;6;17;2;25;31;44;37;44;67;56;36;54;67;32;17;36;48;23;-4;12;34;-4;12;17;23;32;34;36;36;37;44;44;48;54;56;67;67
18;40;44;37;22;14;26;19;22;28;25;32;58;44;60;43;47;44;58;44;49;35;51;44;22;25;28;32;35;43;44;44;44;44;47;49;51;58;58;60
6;35;31;14;23;23;44;25;19;26;49;21;48;49;62;42;37;44;70;51;17;36;48;32;17;19;21;26;32;36;37;42;44;48;48;49;49;51;62;70
39;45;21;22;33;18;31;18;60;52;66;52;62;49;68;46;35;28;48;34;46;40;45;24;24;28;34;35;40;45;46;46;48;49;52;52;60;62;66;68
22;24;23;37;2;11;29;40;11;30;43;54;17;18;44;53;23;21;43;50;36;33;46;74;11;17;18;21;23;30;33;36;43;43;44;46;50;53;54;74
25;46;44;1;13;0;33;42;34;22;43;47;55;41;72;82;52;32;70;70;1;0;28;26;0;1;22;26;28;32;34;41;43;47;52;55;70;70;72;82
25;41;26;5;17;15;2;45;36;37;20;61;43;54;31;67;36;25;23;63;18;6;3;49;3;6;18;20;23;25;31;36;36;37;43;49;54;61;63;67
7;49;42;28;26;44;21;14;29;51;26;21;75;83;58;50;58;83;62;43;44;55;43;41;21;26;29;41;43;43;44;50;51;55;58;58;62;75;83;83
30;14;13;48;15;5;11;11;29;25;25;25;26;7;14;14;9;13;14;16;48;35;52;57;7;9;13;14;14;14;16;25;25;25;26;29;35;48;52;57
38;5;17;35;2;5;46;31;38;43;64;61;-8;-1;46;30;5;10;47;41;30;36;65;56;-8;-1;5;10;30;30;36;38;41;43;46;47;56;61;64;65
14;48;10;44;43;2;1;14;46;-3;9;27;85;33;42;46;47;-1;-4;22;68;46;26;41;-4;-3;-1;9;22;26;27;33;41;42;46;46;46;47;68;85
42;25;5;22;27;15;39;21;49;37;72;54;37;22;53;40;20;11;40;10;39;26;45;25;10;11;20;22;25;26;37;37;39;40;40;45;49;53;54;72
27;20;44;7;36;17;1;18;54;34;16;30;39;20;9;35;80;49;37;55;35;22;8;19;8;9;16;19;20;22;30;34;35;35;37;39;49;54;55;80
37;15;1;0;47;41;4;12;71;71;40;48;62;41;13;26;30;38;-6;2;33;22;-7;11;-7;-6;2;11;13;22;26;30;33;38;40;41;48;62;71;71
29;9;14;35;17;35;43;30;34;61;68;45;11;25;39;23;28;37;43;40;47;54;64;57;11;23;25;28;34;37;39;40;43;45;47;54;57;61;64;68
20;39;33;34;26;26;16;19;42;45;18;27;59;54;54;42;50;42;30;37;56;58;32;42;18;27;30;32;37;42;42;42;42;45;50;54;54;56;58;59
49;18;16;17;45;47;27;39;77;82;67;85;46;59;34;37;60;55;42;41;55;56;41;47;34;37;41;41;42;46;47;55;55;56;59;60;67;77;82;85
3;17;33;17;16;29;34;11;5;28;24;-4;18;36;47;14;45;48;59;38;32;36;38;10;-4;5;10;14;18;24;28;32;36;36;38;38;45;47;48;59
26;32;31;20;6;37;6;17;20;48;27;27;20;52;31;33;20;57;32;33;10;40;23;23;10;20;20;20;23;23;27;27;31;32;33;33;40;48;52;57
47;23;23;27;23;22;44;5;55;58;77;36;38;40;54;13;29;42;60;11;36;45;54;14;11;13;14;29;36;36;38;40;42;45;54;54;55;58;60;77
36;30;33;22;26;35;5;40;60;56;21;68;53;48;22;62;39;65;21;68;29;40;17;42;17;21;21;22;29;39;40;42;48;53;56;60;62;65;68;68
1;31;15;8;46;40;1;47;35;28;-3;33;65;67;31;66;52;46;7;48;49;33;3;47;-3;3;7;28;31;33;33;35;46;47;48;49;52;65;66;67
28;15;42;10;33;6;44;24;60;14;56;52;41;8;49;22;62;46;81;54;33;4;34;24;4;8;14;22;24;33;34;41;46;49;52;54;56;60;62;81
30;37;36;30;38;12;47;22;49;22;57;45;55;46;84;40;71;48;67;54;55;41;70;40;22;40;40;41;45;46;48;49;54;55;55;57;67;70;71;84
0;4;23;33;39;43;8;12;35;24;-6;-6;32;27;11;13;60;54;25;33;59;74;36;43;-6;-6;11;13;24;25;27;32;33;35;36;43;54;59;60;74
49;21;19;15;36;27;44;34;70;71;90;71;44;46;64;35;42;43;57;45;41;42;44;45;35;41;42;42;43;44;44;45;45;46;57;64;70;71;71;90
11;20;26;27;46;32;16;15;53;43;12;11;66;45;21;24;58;44;34;23;53;42;25;29;11;12;21;23;24;25;29;34;42;43;44;45;53;53;58;66
35;17;36;36;21;47;3;14;36;78;37;34;28;52;9;25;39;65;38;46;54;70;22;48;9;22;25;28;34;36;37;38;39;46;48;52;54;65;70;78
40;48;16;6;3;24;28;17;36;50;67;55;49;71;72;58;8;34;30;20;-3;21;14;4;-3;4;8;14;20;21;30;34;36;49;50;55;58;67;71;72
43;20;6;37;28;9;11;22;61;43;53;53;28;28;18;33;18;0;2;26;52;28;44;41;0;2;18;18;26;28;28;28;33;41;43;44;52;53;53;61
23;2;39;43;46;38;25;10;57;58;48;24;29;25;7;12;74;66;59;31;87;62;54;51;7;12;24;25;29;31;48;51;54;57;58;59;62;66;74;87
0;24;20;21;40;3;3;8;31;2;-6;1;47;15;14;13;43;10;23;26;53;24;7;9;-6;1;2;7;9;10;13;14;15;23;24;26;31;43;47;53
19;29;32;27;26;2;15;30;44;3;30;42;42;28;29;54;39;33;40;44;36;19;33;50;3;19;28;29;30;33;33;36;39;40;42;42;44;44;50;54
8;14;2;7;9;49;22;20;-2;48;19;17;14;48;34;24;3;36;10;16;5;53;9;16;-2;3;5;9;10;14;16;16;17;19;24;34;36;48;48;53
35;45;42;41;48;20;2;18;72;50;21;36;78;58;27;47;79;59;38;51;79;56;37;55;21;27;36;37;38;47;50;51;55;56;58;59;72;78;79;79
46;14;38;30;30;43;22;41;58;81;62;72;27;57;16;49;67;76;44;63;53;54;35;68;16;27;35;44;49;53;54;57;58;62;63;67;68;72;76;81
48;7;35;24;22;18;1;16;59;48;30;60;12;18;6;12;53;35;23;44;28;37;13;24;6;12;12;13;18;23;24;28;30;35;37;44;48;53;59;60
14;33;35;24;47;25;35;3;48;32;31;-1;78;45;65;23;82;58;67;28;54;37;42;17;-1;17;23;28;31;32;37;42;45;48;54;58;65;67;78;82
17;21;2;23;33;18;16;24;43;20;19;29;53;29;23;26;19;15;10;11;46;28;22;39;10;11;15;19;19;20;22;23;26;28;29;29;39;43;46;53
20;27;13;37;36;31;44;23;55;47;55;33;59;55;64;33;41;38;45;30;58;55;74;48;30;33;33;38;41;45;47;48;55;55;55;55;58;59;64;74
43;46;1;16;35;15;33;8;76;48;69;33;67;43;74;34;18;10;16;-11;49;17;32;9;-11;9;10;16;17;18;32;33;34;43;48;49;67;69;74;76
5;6;29;17;5;40;16;6;9;34;10;0;-7;40;19;12;16;67;35;20;2;57;20;11;-7;0;2;9;10;11;12;16;19;20;20;34;35;40;57;67
21;28;43;12;21;22;32;30;33;25;49;31;44;46;45;50;60;58;72;60;17;14;33;25;14;17;25;25;31;33;33;44;45;46;49;50;58;60;60;72
4;34;35;15;36;44;20;16;22;45;21;12;64;70;47;40;64;68;41;46;48;40;21;19;12;19;21;21;22;40;40;41;45;46;47;48;64;64;68;70
16;46;26;9;4;39;30;1;0;51;32;4;37;76;56;27;18;50;46;20;7;37;19;-4;-4;0;4;7;18;19;20;27;32;37;37;46;50;51;56;76
29;35;2;44;1;37;44;20;15;51;64;48;34;64;72;55;-13;21;26;9;26;64;69;48;-13;9;15;21;26;26;34;48;48;51;55;64;64;64;69;72
27;32;4;20;16;5;24;49;29;15;36;58;38;18;54;81;1;3;8;47;18;7;38;63;1;3;7;8;15;18;18;29;36;38;38;47;54;58;63;81
5;46;28;34;11;35;41;17;3;30;39;17;49;62;75;59;30;46;60;41;45;49;66;32;3;17;30;30;32;39;41;45;46;49;49;59;60;62;66;75
40;42;32;33;33;48;29;12;70;71;60;42;69;72;57;51;54;71;52;42;66;74;47;32;32;42;42;47;51;52;54;57;60;66;69;70;71;71;72;74
34;0;37;13;5;28;21;15;36;43;52;39;-1;18;19;13;24;62;55;39;18;23;26;16;-1;13;16;18;18;19;23;24;26;36;39;39;43;52;55;62
41;43;22;30;11;49;31;39;45;81;72;76;39;92;66;73;33;71;43;45;21;73;42;65;21;33;39;42;43;45;45;65;66;71;72;73;73;76;81;92
49;9;0;42;12;10;49;27;52;44;81;68;21;4;39;32;-1;2;44;25;44;40;88;57;-1;2;4;21;25;32;39;40;44;44;44;52;57;68;81;88
0;19;7;1;9;37;12;46;4;19;0;39;22;48;28;54;-3;39;3;51;6;31;2;38;-3;0;2;3;4;6;19;22;28;31;38;39;39;48;51;54
38;2;37;3;33;25;4;26;66;60;34;58;24;17;-5;27;56;49;40;43;21;11;7;24;-5;7;11;17;21;24;24;27;34;40;43;49;56;58;60;66
7;41;18;19;30;27;44;38;33;15;37;25;54;53;84;77;36;28;51;56;36;28;62;38;15;25;28;28;33;36;36;37;38;51;53;54;56;62;77;84
30;26;45;21;36;17;2;39;48;27;18;59;55;38;9;59;66;47;41;64;48;22;19;42;9;18;19;22;27;38;41;42;47;48;48;55;59;59;64;66
3;38;25;44;15;18;8;36;8;2;3;34;38;44;44;62;39;31;27;54;59;43;45;67;2;3;8;27;31;34;38;39;43;44;44;45;54;59;62;67
5;0;30;44;5;41;10;24;10;42;15;19;3;30;-7;22;32;66;27;34;36;70;36;51;-7;3;10;15;19;22;27;30;32;34;36;36;42;51;66;70
25;11;37;33;14;13;47;41;25;38;65;56;15;8;42;50;39;50;81;77;34;26;65;58;8;15;25;26;34;38;39;42;50;50;56;58;65;65;77;81
27;36;26;5;16;44;39;19;34;64;52;45;40;76;69;45;22;62;59;31;7;36;40;22;7;22;22;31;34;36;40;40;45;45;52;59;62;64;69;76
33;26;20;44;47;13;32;37;71;38;62;68;61;37;48;57;51;26;46;48;90;49;71;75;26;37;38;46;48;48;49;51;57;61;62;68;71;71;75;90
40;12;6;39;20;21;18;3;55;46;58;29;25;18;22;12;20;22;16;4;40;58;51;30;4;12;16;18;20;22;22;25;29;30;40;46;51;55;58;58
13;26;16;37;13;21;39;30;11;23;47;30;31;44;46;39;26;36;44;31;49;47;70;58;11;23;26;30;31;31;36;39;44;44;46;47;47;49;58;70
36;48;31;42;21;10;30;40;50;31;50;68;54;58;78;71;49;23;44;70;58;47;63;72;23;31;44;47;49;50;50;54;58;58;63;68;70;71;72;78
33;42;36;43;20;32;7;33;45;61;22;47;47;74;43;63;43;65;41;56;45;68;43;68;22;41;43;43;43;45;45;47;47;56;61;63;65;68;68;74
21;33;49;36;40;20;40;45;61;29;51;66;71;45;73;60;75;62;82;86;56;44;72;68;29;44;45;51;56;60;61;62;66;68;71;72;73;75;82;86
26;48;7;1;42;26;10;44;57;46;26;62;90;54;46;90;44;28;11;47;35;14;7;43;7;11;14;26;28;35;43;44;46;46;47;54;57;62;90;90
7;2;6;24;7;21;37;23;2;17;26;25;-3;20;36;18;11;9;28;9;16;27;55;40;-3;2;9;9;11;16;17;18;20;25;26;27;28;36;40;55
12;45;44;22;10;48;24;43;12;60;31;42;53;74;66;85;47;89;52;71;16;58;37;46;12;16;31;37;42;46;47;52;53;58;60;66;71;74;85;89
18;32;40;25;26;45;19;40;38;58;36;39;46;61;44;54;54;80;58;80;31;55;26;59;26;31;36;38;39;44;46;54;54;55;58;58;59;61;80;80
1;47;6;4;16;22;31;1;11;3;26;-14;52;53;72;40;20;21;18;3;15;17;26;3;-14;3;3;3;11;15;17;18;20;21;26;26;40;52;53;72
24;9;9;30;26;46;23;6;50;61;45;17;31;51;26;-2;31;55;21;-2;43;63;51;24;-2;-2;17;21;24;26;31;31;43;45;50;51;51;55;61;63
10;46;23;3;20;1;8;33;26;9;4;35;51;39;45;61;30;20;24;36;4;-15;0;31;-15;0;4;4;9;20;24;26;30;31;35;36;39;45;51;61
12;20;5;17;47;20;1;41;52;27;-1;49;57;37;9;58;44;17;1;34;51;17;6;42;-1;1;6;9;17;17;27;34;37;42;44;49;51;52;57;58
37;17;38;42;46;44;34;28;79;77;56;57;61;53;36;45;71;80;71;65;81;82;57;53;36;45;53;53;56;57;57;61;65;71;71;77;79;80;81;82
26;1;48;8;28;39;33;5;53;58;49;11;17;39;24;3;63;81;64;37;32;35;36;3;3;3;11;17;24;32;35;36;37;39;49;53;58;63;64;81
27;25;44;40;25;17;11;23;38;29;36;40;38;32;20;45;66;41;42;51;57;56;35;52;20;29;32;35;36;38;38;40;41;42;45;51;52;56;57;66
37;19;17;26;5;33;20;23;33;55;38;49;23;38;35;26;16;33;28;22;27;51;45;39;16;22;23;26;27;28;33;33;35;38;38;39;45;49;51;55
6;48;18;38;11;49;2;36;7;41;2;34;56;83;30;70;20;54;17;49;41;82;30;55;2;7;17;20;30;30;34;41;41;49;54;55;56;70;82;83
0;24;23;24;35;27;12;31;17;7;-7;22;52;36;20;45;39;40;21;46;58;41;28;52;-7;7;17;20;21;22;28;36;39;40;41;45;46;52;52;58
28;29;10;34;19;49;30;48;39;59;46;66;38;69;46;71;14;59;27;57;52;73;49;65;14;27;38;39;46;46;49;52;57;59;59;65;66;69;71;73
49;7;19;12;39;28;14;17;76;64;59;53;42;25;17;5;38;31;21;27;40;21;13;24;5;13;17;21;21;24;25;27;31;38;40;42;53;59;64;76
0;10;31;45;10;16;8;23;-5;10;-4;5;19;10;3;19;22;39;19;49;40;48;44;68;-5;-4;3;5;10;10;19;19;19;22;39;40;44;48;49;68
35;18;4;41;21;3;29;15;53;36;47;42;29;21;42;27;11;7;33;5;42;40;69;54;5;7;11;21;27;29;33;36;40;42;42;42;47;53;54;69
43;49;49;47;17;41;7;30;41;64;35;66;61;74;43;70;63;79;54;79;58;80;51;63;35;41;43;51;54;58;61;63;63;64;66;70;74;79;79;80
11;4;4;16;15;35;31;49;13;40;25;41;13;39;27;52;11;29;15;39;28;34;27;47;11;13;13;15;25;27;27;28;29;34;39;39;40;41;47;52
4;34;10;37;37;47;33;40;23;47;30;38;65;81;50;67;35;39;35;50;71;67;56;71;23;30;35;35;38;39;47;50;50;56;65;67;67;71;71;81
34;8;40;22;23;34;12;27;42;57;27;44;17;38;18;24;59;74;45;57;31;56;30;36;17;18;24;27;30;31;36;38;42;44;45;56;57;57;59;74
5;44;7;46;35;23;1;21;36;15;-7;24;63;64;40;59;26;28;-2;25;78;52;34;47;-7;-2;15;24;25;26;28;34;36;40;47;52;59;63;64;78
19;17;29;41;11;14;27;9;29;13;33;18;8;18;25;6;35;35;47;31;50;40;51;44;6;8;13;18;18;25;29;31;33;35;35;40;44;47;50;51
44;19;38;1;26;35;7;13;52;63;45;53;45;49;23;24;59;58;28;50;26;29;-5;-1;-5;-1;23;24;26;28;29;45;45;49;50;52;53;58;59;63
36;33;10;17;41;46;4;22;61;63;39;38;65;76;25;53;51;49;1;16;39;46;10;39;1;10;16;25;38;39;39;39;46;49;51;53;61;63;65;76
11;4;41;24;37;15;47;36;31;25;52;41;22;5;43;20;59;55;77;74;50;32;58;55;5;20;22;25;31;32;41;43;50;52;55;55;58;59;74;77
12;29;47;31;17;25;18;9;15;27;12;6;36;45;38;19;44;72;53;48;47;37;48;40;6;12;15;19;27;36;37;38;40;44;45;47;48;48;53;72
21;5;15;23;25;43;3;24;27;53;13;33;29;47;1;11;20;44;5;29;28;53;24;42;1;5;11;13;20;24;27;28;29;29;33;42;44;47;53;53
26;8;22;45;4;24;36;21;28;39;44;32;-2;29;28;20;25;30;55;31;31;63;67;59;-2;20;25;28;28;29;30;31;31;32;39;44;55;59;63;67
13;9;48;3;22;47;29;8;35;54;37;21;15;55;30;15;57;75;72;51;20;46;22;-3;-3;15;15;20;21;22;30;35;37;46;51;54;55;57;72;75
31;21;15;30;37;16;44;47;63;45;58;62;44;24;64;52;32;25;41;45;57;27;54;75;24;25;27;32;41;44;45;45;52;54;57;58;62;63;64;75
43;29;24;13;4;42;36;39;37;74;62;79;13;65;63;65;13;46;44;63;13;44;37;36;13;13;13;36;37;37;44;44;46;62;63;63;65;65;74;79
49;44;42;25;40;10;7;48;85;48;46;91;82;50;48;86;75;35;49;78;58;21;15;60;15;21;35;46;48;48;49;50;58;60;75;78;82;85;86;91
24;9;46;36;28;47;6;20;44;52;25;27;29;48;-5;17;56;86;34;63;52;81;38;50;-5;17;25;27;29;34;38;44;48;50;52;52;56;63;81;86
8;45;28;8;44;12;4;43;43;9;0;31;76;45;49;82;55;38;19;63;40;8;-5;35;-5;0;8;9;19;31;35;38;40;43;45;49;55;63;76;82
23;14;9;17;18;11;23;10;34;16;42;30;26;22;23;24;18;18;22;18;30;22;30;17;16;17;18;18;18;22;22;22;23;24;26;30;30;30;34;42
44;7;49;11;21;30;23;31;54;58;51;74;19;31;15;30;50;79;62;63;27;38;31;24;15;19;24;27;30;31;31;38;50;51;54;58;62;63;74;79
25;5;4;46;33;13;30;39;40;37;41;47;22;13;30;29;19;11;28;37;79;48;75;78;11;13;19;22;28;29;30;37;37;40;41;47;48;75;78;79
32;10;38;13;40;15;45;22;56;41;72;53;47;25;54;12;67;43;63;53;44;19;44;21;12;19;21;25;41;43;44;44;47;53;53;54;56;63;67;72
32;3;39;0;8;46;37;43;30;72;55;65;-3;49;31;39;35;79;58;71;-10;46;21;38;-10;-3;21;30;31;35;38;39;46;49;55;58;65;71;72;79
32;10;49;0;23;25;43;17;46;46;74;38;20;24;51;17;56;68;85;64;22;17;29;-1;-1;17;17;20;22;24;29;38;46;46;51;56;64;68;74;85
13;33;28;0;38;21;2;39;49;19;11;51;71;52;30;54;66;40;30;59;30;19;-18;37;-18;11;19;19;30;30;30;37;40;49;51;52;54;59;66;71
39;33;17;16;8;18;41;37;46;44;70;58;31;44;60;57;11;27;58;45;17;23;47;45;11;17;23;27;31;44;44;45;45;46;47;57;58;58;60;70
33;2;33;36;42;40;29;40;74;73;42;70;30;41;14;23;75;64;52;55;64;71;45;75;14;23;30;41;42;45;52;55;64;64;70;71;73;74;75;75
0;30;41;6;8;21;39;11;-12;6;34;-5;23;33;64;30;30;52;62;44;-5;11;32;0;-12;-5;-5;0;6;11;23;30;30;32;33;34;44;52;62;64
34;46;42;31;30;39;13;33;63;53;47;65;65;79;39;67;69;80;41;74;61;59;26;47;26;39;41;47;47;53;59;61;63;65;65;67;69;74;79;80
4;29;46;18;40;43;17;21;39;36;15;21;55;54;34;49;66;86;62;65;56;43;34;24;15;21;24;34;34;36;39;43;49;54;55;56;62;65;66;86
24;29;15;26;43;35;20;46;53;56;38;57;67;49;34;71;50;47;22;43;51;55;33;68;22;33;34;38;43;47;49;50;51;53;55;56;57;67;68;71
6;30;7;24;31;1;5;27;23;6;-3;30;51;26;18;40;31;-2;-2;33;49;14;26;31;-3;-2;-2;6;14;18;23;26;26;30;31;31;33;40;49;51
44;48;13;38;12;1;12;22;55;31;53;60;50;32;43;59;14;7;15;27;43;37;48;52;7;14;15;27;31;32;37;43;43;48;50;52;53;55;59;60
18;47;1;33;14;15;18;23;12;26;27;22;56;46;61;66;10;-2;4;12;37;41;44;56;-2;4;10;12;12;22;26;27;37;41;44;46;56;56;61;66
6;31;13;38;39;2;41;31;34;6;30;25;66;33;62;45;45;7;47;32;57;30;67;50;6;7;25;30;30;32;33;34;45;45;47;50;57;62;66;67
14;20;16;33;10;42;13;14;19;40;18;10;28;57;24;23;12;49;9;25;43;63;29;39;9;10;12;18;19;23;24;25;28;29;39;40;43;49;57;63
18;43;40;2;21;2;36;14;19;7;45;21;52;35;78;37;49;22;58;43;22;-4;38;2;-4;2;7;19;21;22;22;35;37;38;43;45;49;52;58;78
14;28;46;38;8;24;36;2;10;32;39;11;29;38;44;12;53;60;73;42;35;53;74;33;10;11;12;29;32;33;35;38;39;42;44;53;53;60;73;74
13;18;20;10;9;9;0;11;4;19;-5;20;25;21;2;29;24;28;6;30;5;1;7;13;-5;1;2;4;5;6;7;13;19;20;21;24;25;28;29;30
44;38;10;48;3;12;33;28;45;39;75;70;38;39;68;51;10;18;33;29;33;58;61;59;10;18;29;33;33;38;39;39;45;51;58;59;61;68;70;75
42;21;14;2;1;33;48;17;30;63;78;50;7;35;56;25;9;42;48;13;-16;28;46;17;-16;7;9;13;17;25;28;30;35;42;46;48;50;56;63;78
22;28;7;3;42;5;12;38;57;23;15;44;62;29;40;48;37;-7;1;33;37;0;15;30;-7;0;1;15;15;23;29;30;33;37;37;40;44;48;57;62
3;37;30;9;31;44;32;26;34;33;29;19;60;79;58;60;43;74;53;36;38;47;34;19;19;19;29;33;34;34;36;38;43;47;53;58;60;60;74;79
47;0;0;15;27;48;24;41;58;77;58;86;18;35;9;39;23;33;7;25;34;63;35;41;7;9;18;23;25;33;34;35;35;39;41;58;58;63;77;86
39;39;43;3;15;20;36;13;45;48;60;34;40;51;69;49;48;48;64;55;12;22;38;2;2;12;22;34;38;40;45;48;48;48;49;51;55;60;64;69
17;39;3;45;31;34;36;25;42;33;34;33;59;64;71;45;18;17;35;11;69;62;67;67;11;17;18;33;33;34;35;42;45;59;62;64;67;67;69;71
29;24;47;8;31;29;4;1;56;41;16;30;50;47;18;6;73;74;43;33;20;37;-5;-1;-5;-1;6;16;18;20;30;33;37;41;43;47;50;56;73;74
24;49;27;2;30;16;1;30;44;25;5;44;79;61;49;66;51;33;8;41;22;14;-1;31;-1;5;8;14;22;25;31;33;41;44;44;49;51;61;66;79
2;10;32;3;22;9;49;49;5;-5;46;44;32;4;40;53;42;37;61;68;17;-7;52;32;-7;-5;4;5;17;32;32;37;40;42;44;46;52;53;61;68
